Scan Results,01/07/2026 at 09:16:10 (GMT-0800),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
profile,key,Role,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Launch Date,Active Hosts,Total Hosts,Type,Status,Reference,Scanner Appliance,Duration,Scan Title,Asset Groups,IPs,Excluded IPs,Option Profile,Network,FQDN,,,,,,,,,,
10.24.3.254,No registered hostname,,,"host scanned, found vuln",82004,Open UDP Services List,Ig,1,,,,,,,,"A port scanner was used to draw a map of all the UDP services on this host that can be accessed from the Internet.
 
Note that if the host is behind a firewall, there is a small chance that the list includes a few ports that are filtered or blocked by the firewall but are not actually open on the target host. This (false positive on UDP open ports) may happen when the firewall is configured to reject UDP packets for most (but not all) ports with an ICMP Port Unreachable packet. This may also happen when the firewall is configured to allow UDP packets for most (but not all) ports through and filter/block/drop UDP packets for only a few ports. Both cases are uncommon.",Unauthorized users can exploit this information to test vulnerabilities in each of the open services.,"Shut down any unknown or unused service on the list.  If you have difficulty working out which service is provided by which process or program, contact your provider's support team.  For more information about commercial and open-source Intrusion Detection Systems available for detecting port scanners of this kind, visit the CERT Web site (http://www.cert.org).",,,"Port	IANA Assigned Ports/Services	Description	Service Detected
161	snmp	SNMP	snmp",no,,TCP/IP
10.24.3.254,No registered hostname,,,"host scanned, found vuln",82040,ICMP Replies Received,Ig,1,,,,,,,,"ICMP (Internet Control and Error Message Protocol) is a protocol encapsulated in IP packets. ICMP's principal purpose is to provide a protocol layer that informs gateways of the inter-connectivity and accessibility of other gateways or hosts. 
 
We have sent the following types of packets to trigger the host to send us ICMP replies: 
 
Echo Request (to trigger Echo Reply) 
Timestamp Request (to trigger Timestamp Reply) 
Address Mask Request (to trigger Address Mask Reply) 
UDP Packet (to trigger Port Unreachable Reply) 
IP Packet with Protocol >= 250 (to trigger Protocol Unreachable Reply)
 
Listed in the ""Result"" section are the ICMP replies that we have received.",,,,,"ICMP Reply Type	Triggered By	Additional Information
Echo (type=0 code=0)	Echo Request	Echo Reply
Time Stamp (type=14 code=0)	Time Stamp Request	14:33:52 GMT",no,,TCP/IP
10.24.3.251,No registered hostname,,,"host scanned, found vuln",6,DNS Host Name,Ig,1,,,,,,,,"The fully qualified domain name of this host, if it was obtained from a DNS server, is displayed in the RESULT section.",N/A,N/A,,,"IP address	Host name
10.24.3.251	No registered hostname",no,,Information gathering
10.24.3.251,No registered hostname,,,"host scanned, found vuln",45006,Traceroute,Ig,1,,,,,,,,Traceroute describes the path in realtime from the scanner to the remote host being contacted. It reports the IP addresses of all the routers in between.,,,,,"Hops	IP	Round Trip Time	Probe	Port
1	10.124.220.1	0.11ms	ICMP	 
2	100.64.112.0	0.21ms	ICMP	 
3	10.124.213.129	1.01ms	ICMP	 
4	10.124.212.249	0.50ms	ICMP	 
5	10.218.32.69	0.63ms	ICMP	 
6	10.218.26.213	0.47ms	ICMP	 
7	10.218.26.177	0.57ms	ICMP	 
8	10.24.255.202	26.83ms	ICMP	 
9	10.24.3.251	31.88ms	ICMP",no,,Information gathering
10.24.3.251,No registered hostname,,,"host scanned, found vuln",45038,Host Scan Time - Scanner,Ig,1,,,,,,,,"The Host Scan Time is the period of time it takes the scanning engine to perform the vulnerability assessment of a single target host. The Host Scan Time for this host is reported in the Result section below. 
 
The Host Scan Time does not have a direct correlation to the Duration time as displayed in the Report Summary section of a scan results report. The Duration is the period of time it takes the service to perform a scan task. The Duration includes the time it takes the service to scan all hosts, which may involve parallel scanning. It also includes the time it takes for a scanner appliance to pick up the scan task and transfer the results back to the service's Secure Operating Center. Further, when a scan task is distributed across multiple scanners, the Duration includes the time it takes to perform parallel host scanning on all scanners.",N/A,N/A,,,"Scan duration: 368 seconds

Start time: Mon, Aug 11 2025, 14:33:47 GMT

End time: Mon, Aug 11 2025, 14:39:55 GMT",no,,Information gathering
10.24.3.251,No registered hostname,,,"host scanned, found vuln",45426,Scan Activity per Port,Ig,1,,,,,,,,"Scan activity per port is an estimate of the amount of internal process time the scanner engine spent scanning a particular TCP or UDP port. This information can be useful to determine the reason for long scan times. The individual time values represent internal process time, not elapsed time, and can be longer than the total scan time because of internal parallelism. High values are often caused by slowly responding services or services on which requests time out.",N/A,N/A,,,"Protocol	Port	Time
UDP	161	 0:01:24",no,,Information gathering
10.24.3.251,No registered hostname,,,"host scanned, found vuln",82004,Open UDP Services List,Ig,1,,,,,,,,"A port scanner was used to draw a map of all the UDP services on this host that can be accessed from the Internet.
 
Note that if the host is behind a firewall, there is a small chance that the list includes a few ports that are filtered or blocked by the firewall but are not actually open on the target host. This (false positive on UDP open ports) may happen when the firewall is configured to reject UDP packets for most (but not all) ports with an ICMP Port Unreachable packet. This may also happen when the firewall is configured to allow UDP packets for most (but not all) ports through and filter/block/drop UDP packets for only a few ports. Both cases are uncommon.",Unauthorized users can exploit this information to test vulnerabilities in each of the open services.,"Shut down any unknown or unused service on the list.  If you have difficulty working out which service is provided by which process or program, contact your provider's support team.  For more information about commercial and open-source Intrusion Detection Systems available for detecting port scanners of this kind, visit the CERT Web site (http://www.cert.org).",,,"Port	IANA Assigned Ports/Services	Description	Service Detected
161	snmp	SNMP	snmp",no,,TCP/IP
10.24.3.251,No registered hostname,,,"host scanned, found vuln",82040,ICMP Replies Received,Ig,1,,,,,,,,"ICMP (Internet Control and Error Message Protocol) is a protocol encapsulated in IP packets. ICMP's principal purpose is to provide a protocol layer that informs gateways of the inter-connectivity and accessibility of other gateways or hosts. 
 
We have sent the following types of packets to trigger the host to send us ICMP replies: 
 
Echo Request (to trigger Echo Reply) 
Timestamp Request (to trigger Timestamp Reply) 
Address Mask Request (to trigger Address Mask Reply) 
UDP Packet (to trigger Port Unreachable Reply) 
IP Packet with Protocol >= 250 (to trigger Protocol Unreachable Reply)
 
Listed in the ""Result"" section are the ICMP replies that we have received.",,,,,"ICMP Reply Type	Triggered By	Additional Information
Echo (type=0 code=0)	Echo Request	Echo Reply
Time Stamp (type=14 code=0)	Time Stamp Request	14:33:52 GMT",no,,TCP/IP
10.24.3.250,No registered hostname,,,"host scanned, found vuln",6,DNS Host Name,Ig,1,,,,,,,,"The fully qualified domain name of this host, if it was obtained from a DNS server, is displayed in the RESULT section.",N/A,N/A,,,"IP address	Host name
10.24.3.250	No registered hostname",no,,Information gathering
10.24.3.250,No registered hostname,,,"host scanned, found vuln",45006,Traceroute,Ig,1,,,,,,,,Traceroute describes the path in realtime from the scanner to the remote host being contacted. It reports the IP addresses of all the routers in between.,,,,,"Hops	IP	Round Trip Time	Probe	Port
1	10.124.220.1	0.06ms	ICMP	 
2	100.64.112.0	0.05ms	ICMP	 
3	10.124.213.161	0.35ms	ICMP	 
4	10.124.212.249	0.43ms	ICMP	 
5	10.218.32.77	0.48ms	ICMP	 
6	10.218.26.225	0.49ms	ICMP	 
7	10.218.26.177	0.56ms	ICMP	 
8	10.24.255.202	27.38ms	ICMP	 
9	10.24.252.193	31.94ms	ICMP	 
10	10.24.3.250	36.43ms	ICMP",no,,Information gathering
10.24.3.250,No registered hostname,,,"host scanned, found vuln",45038,Host Scan Time - Scanner,Ig,1,,,,,,,,"The Host Scan Time is the period of time it takes the scanning engine to perform the vulnerability assessment of a single target host. The Host Scan Time for this host is reported in the Result section below. 
 
The Host Scan Time does not have a direct correlation to the Duration time as displayed in the Report Summary section of a scan results report. The Duration is the period of time it takes the service to perform a scan task. The Duration includes the time it takes the service to scan all hosts, which may involve parallel scanning. It also includes the time it takes for a scanner appliance to pick up the scan task and transfer the results back to the service's Secure Operating Center. Further, when a scan task is distributed across multiple scanners, the Duration includes the time it takes to perform parallel host scanning on all scanners.",N/A,N/A,,,"Scan duration: 193 seconds

Start time: Mon, Aug 11 2025, 14:33:04 GMT

End time: Mon, Aug 11 2025, 14:36:17 GMT",no,,Information gathering
10.24.3.250,No registered hostname,,,"host scanned, found vuln",45426,Scan Activity per Port,Ig,1,,,,,,,,"Scan activity per port is an estimate of the amount of internal process time the scanner engine spent scanning a particular TCP or UDP port. This information can be useful to determine the reason for long scan times. The individual time values represent internal process time, not elapsed time, and can be longer than the total scan time because of internal parallelism. High values are often caused by slowly responding services or services on which requests time out.",N/A,N/A,,,"Protocol	Port	Time
UDP	67	 0:00:10
UDP	123	 0:00:05
UDP	161	 0:01:24",no,,Information gathering
10.24.3.250,No registered hostname,,,"host scanned, found vuln",82004,Open UDP Services List,Ig,1,,,,,,,,"A port scanner was used to draw a map of all the UDP services on this host that can be accessed from the Internet.
 
Note that if the host is behind a firewall, there is a small chance that the list includes a few ports that are filtered or blocked by the firewall but are not actually open on the target host. This (false positive on UDP open ports) may happen when the firewall is configured to reject UDP packets for most (but not all) ports with an ICMP Port Unreachable packet. This may also happen when the firewall is configured to allow UDP packets for most (but not all) ports through and filter/block/drop UDP packets for only a few ports. Both cases are uncommon.",Unauthorized users can exploit this information to test vulnerabilities in each of the open services.,"Shut down any unknown or unused service on the list.  If you have difficulty working out which service is provided by which process or program, contact your provider's support team.  For more information about commercial and open-source Intrusion Detection Systems available for detecting port scanners of this kind, visit the CERT Web site (http://www.cert.org).",,,"Port	IANA Assigned Ports/Services	Description	Service Detected
67	bootps	Bootstrap Protocol Server	unknown
68	bootpc	Bootstrap Protocol Client	unknown
123	ntp	Network Time Protocol	unknown
161	snmp	SNMP	snmp
1645	radius	radius	unknown",no,,TCP/IP
